"DATE","DATE_NAME","DATE_CODE","DATE_TYPE","DATE_TYPECODE","DATE_SORTORDER","GEOGRAPHY","GEOGRAPHY_NAME","GEOGRAPHY_CODE","GEOGRAPHY_TYPE","GEOGRAPHY_TYPECODE","GEOGRAPHY_SORTORDER","C2021_ETH_20","C2021_ETH_20_NAME","C2021_ETH_20_CODE","C2021_ETH_20_TYPE","C2021_ETH_20_TYPECODE","C2021_ETH_20_SORTORDER","MEASURES","MEASURES_NAME","OBS_VALUE","OBS_STATUS","OBS_STATUS_NAME","OBS_CONF","OBS_CONF_NAME","URN","RECORD_OFFSET","RECORD_COUNT"
"2021","2021","2021","date",0,0,"E08000034","Kirklees","E08000034","2022 local authorities: districts",154,0,"13","Asian, Asian British or Asian Welsh: Chinese","_2","Ethnic group",1000000,13,"20301","Percent",0.4,"A","Normal Value","F","Free (free for publication)","Nm-2041d1d32336e1d645922886d13d20301",27,40
"2021","2021","2021","date",0,0,"E08000034","Kirklees","E08000034","2022 local authorities: districts",154,0,"14","Asian, Asian British or Asian Welsh: Other Asian","_5","Ethnic group",1000000,14,"20100","Value",4077,"A","Normal Value","F","Free (free for publication)","Nm-2041d1d32336e1d645922886d14d20100",28,40
"2021","2021","2021","date",0,0,"E08000034","Kirklees","E08000034","2022 local authorities: districts",154,0,"14","Asian, Asian British or Asian Welsh: Other Asian","_5","Ethnic group",1000000,14,"20301","Percent",0.9,"A","Normal Value","F","Free (free for publication)","Nm-2041d1d32336e1d645922886d14d20301",29,40
"2021","2021","2021","date",0,0,"E08000034","Kirklees","E08000034","2022 local authorities: districts",154,0,"15","Black, Black British, Black Welsh, Caribbean or African: Caribbean","_7","Ethnic group",1000000,15,"20100","Value",4324,"A","Normal Value","F","Free (free for publication)","Nm-2041d1d32336e1d645922886d15d20100",30,40
"2021","2021","2021","date",0,0,"E08000034","Kirklees","E08000034","2022 local authorities: districts",154,0,"15","Black, Black British, Black Welsh, Caribbean or African: Caribbean","_7","Ethnic group",1000000,15,"20301","Percent",1.0,"A","Normal Value","F","Free (free for publication)","Nm-2041d1d32336e1d645922886d15d20301",31,40
"2021","2021","2021","date",0,0,"E08000034","Kirklees","E08000034","2022 local authorities: districts",154,0,"16","Black, Black British, Black Welsh, Caribbean or African: African","_6","Ethnic group",1000000,16,"20100","Value",4180,"A","Normal Value","F","Free (free for publication)","Nm-2041d1d32336e1d645922886d16d20100",32,40
"2021","2021","2021","date",0,0,"E08000034","Kirklees","E08000034","2022 local authorities: districts",154,0,"16","Black, Black British, Black Welsh, Caribbean or African: African","_6","Ethnic group",1000000,16,"20301","Percent",1.0,"A","Normal Value","F","Free (free for publication)","Nm-2041d1d32336e1d645922886d16d20301",33,40
"2021","2021","2021","date",0,0,"E08000034","Kirklees","E08000034","2022 local authorities: districts",154,0,"17","Black, Black British, Black Welsh, Caribbean or African: Other Black","_8","Ethnic group",1000000,17,"20100","Value",1444,"A","Normal Value","F","Free (free for publication)","Nm-2041d1d32336e1d645922886d17d20100",34,40
"2021","2021","2021","date",0,0,"E08000034","Kirklees","E08000034","2022 local authorities: districts",154,0,"17","Black, Black British, Black Welsh, Caribbean or African: Other Black","_8","Ethnic group",1000000,17,"20301","Percent",0.3,"A","Normal Value","F","Free (free for publication)","Nm-2041d1d32336e1d645922886d17d20301",35,40
"2021","2021","2021","date",0,0,"E08000034","Kirklees","E08000034","2022 local authorities: districts",154,0,"18","Other ethnic group: Arab","_18","Ethnic group",1000000,18,"20100","Value",1915,"A","Normal Value","F","Free (free for publication)","Nm-2041d1d32336e1d645922886d18d20100",36,40
"2021","2021","2021","date",0,0,"E08000034","Kirklees","E08000034","2022 local authorities: districts",154,0,"18","Other ethnic group: Arab","_18","Ethnic group",1000000,18,"20301","Percent",0.4,"A","Normal Value","F","Free (free for publication)","Nm-2041d1d32336e1d645922886d18d20301",37,40
"2021","2021","2021","date",0,0,"E08000034","Kirklees","E08000034","2022 local authorities: districts",154,0,"19","Other ethnic group: Any other ethnic group","_19","Ethnic group",1000000,19,"20100","Value",4591,"A","Normal Value","F","Free (free for publication)","Nm-2041d1d32336e1d645922886d19d20100",38,40
"2021","2021","2021","date",0,0,"E08000034","Kirklees","E08000034","2022 local authorities: districts",154,0,"19","Other ethnic group: Any other ethnic group","_19","Ethnic group",1000000,19,"20301","Percent",1.1,"A","Normal Value","F","Free (free for publication)","Nm-2041d1d32336e1d645922886d19d20301",39,40
