LSOA code (2011),LSOA name (2011),Local Authority District code (2019),Local Authority District name (2019),Index of Multiple Deprivation (IMD) Score,Index of Multiple Deprivation (IMD) Rank (where 1 is most deprived),Index of Multiple Deprivation (IMD) Decile (where 1 is most deprived 10% of LSOAs),Income Score (rate),Income Rank (where 1 is most deprived),Income Decile (where 1 is most deprived 10% of LSOAs),Employment Score (rate),Employment Rank (where 1 is most deprived),Employment Decile (where 1 is most deprived 10% of LSOAs),"Education, Skills and Training Score","Education, Skills and Training Rank (where 1 is most deprived)","Education, Skills and Training Decile (where 1 is most deprived 10% of LSOAs)",Health Deprivation and Disability Score,Health Deprivation and Disability Rank (where 1 is most deprived),Health Deprivation and Disability Decile (where 1 is most deprived 10% of LSOAs),Crime Score,Crime Rank (where 1 is most deprived),Crime Decile (where 1 is most deprived 10% of LSOAs),Barriers to Housing and Services Score,Barriers to Housing and Services Rank (where 1 is most deprived),Barriers to Housing and Services Decile (where 1 is most deprived 10% of LSOAs),Living Environment Score,Living Environment Rank (where 1 is most deprived),Living Environment Decile (where 1 is most deprived 10% of LSOAs),Income Deprivation Affecting Children Index (IDACI) Score (rate),Income Deprivation Affecting Children Index (IDACI) Rank (where 1 is most deprived),Income Deprivation Affecting Children Index (IDACI) Decile (where 1 is most deprived 10% of LSOAs),Income Deprivation Affecting Older People (IDAOPI) Score (rate),Income Deprivation Affecting Older People (IDAOPI) Rank (where 1 is most deprived),Income Deprivation Affecting Older People (IDAOPI) Decile (where 1 is most deprived 10% of LSOAs),Children and Young People Sub-domain Score,Children and Young People Sub-domain Rank (where 1 is most deprived),Children and Young People Sub-domain Decile (where 1 is most deprived 10% of LSOAs),Adult Skills Sub-domain Score,Adult Skills Sub-domain Rank (where 1 is most deprived),Adult Skills Sub-domain Decile (where 1 is most deprived 10% of LSOAs),Geographical Barriers Sub-domain Score,Geographical Barriers Sub-domain Rank (where 1 is most deprived),Geographical Barriers Sub-domain Decile (where 1 is most deprived 10% of LSOAs),Wider Barriers Sub-domain Score,Wider Barriers Sub-domain Rank (where 1 is most deprived),Wider Barriers Sub-domain Decile (where 1 is most deprived 10% of LSOAs),Indoors Sub-domain Score,Indoors Sub-domain Rank (where 1 is most deprived),Indoors Sub-domain Decile (where 1 is most deprived 10% of LSOAs),Outdoors Sub-domain Score,Outdoors Sub-domain Rank (where 1 is most deprived),Outdoors Sub-domain Decile (where 1 is most deprived 10% of LSOAs),Total population: mid 2015 (excluding prisoners),Dependent Children aged 0-15: mid 2015 (excluding prisoners),Population aged 16-59: mid 2015 (excluding prisoners),Older population aged 60 and over: mid 2015 (excluding prisoners),Working age population 18-59/64: for use with Employment Deprivation Domain (excluding prisoners) 
E01011224,Kirklees 048A,E08000034,Kirklees,41.193,3920,2,0.198,6782,3,0.166,5253,2,35.584,6587,3,1.289,2403,1,1.365,1484,1,22.745,13482,5,36.603,5536,2,0.224,8458,3,0.232,7961,3,0.808,5398,2,0.38,8179,3,-0.158,18511,6,1.766,7659,3,0.885,4862,2,0.304,10681,4,1887,343,1166,378,1177
E01011225,Kirklees 042C,E08000034,Kirklees,31.472,7305,3,0.185,7697,3,0.105,11790,4,34.962,6774,3,0.643,7458,3,0.796,5471,2,28.761,7844,3,32.617,7402,3,0.326,3373,2,0.223,8428,3,0.776,5704,2,0.38,8204,3,0.111,13748,5,2.336,5975,2,0.771,5986,2,0.189,12283,4,1927,332,1332,263,1330
E01011226,Kirklees 048B,E08000034,Kirklees,19.424,14889,5,0.09,17900,6,0.071,18636,6,15.943,16630,6,-0.372,21765,7,1.612,767,1,12.631,25850,8,28.121,9881,4,0.159,13195,5,0.071,25060,8,0.051,15214,5,0.289,17264,6,-0.158,18514,6,-0.714,19058,6,0.751,6233,2,-0.324,20758,7,1502,254,792,456,796
E01011227,Kirklees 048C,E08000034,Kirklees,49.333,2282,1,0.304,2086,1,0.236,1708,1,38.575,5744,2,1.052,3854,2,1.489,1097,1,23.522,12643,4,19.733,15492,5,0.36,2344,1,0.309,4343,2,0.634,7224,3,0.437,4624,2,-0.127,17907,6,1.846,7380,3,0.266,12359,4,-0.087,16746,6,1562,242,895,425,894
E01011228,Kirklees 048D,E08000034,Kirklees,21.324,13295,5,0.096,16956,6,0.095,13360,5,9.908,21921,7,-0.111,17744,6,1.648,683,1,21.23,15227,5,18.048,16777,6,0.151,13994,5,0.086,22243,7,-0.561,24747,8,0.281,18151,6,0.306,10671,4,-0.022,15315,5,0.197,13336,5,-0.163,18036,6,1439,216,770,453,792
E01011229,Kirklees 042D,E08000034,Kirklees,27.05,9558,3,0.092,17587,6,0.068,19370,6,25.872,10382,4,1.036,3957,2,0.368,10920,4,27.764,8639,3,54.078,1300,1,0.181,11445,4,0.399,1878,1,0.355,10686,4,0.358,10072,4,-0.003,15718,5,2.435,5703,2,1.44,1309,1,0.35,10106,4,4030,217,3576,237,3598
E01011230,Kirklees 043D,E08000034,Kirklees,36.751,5287,2,0.233,4841,2,0.138,7705,3,52.915,2743,1,0.117,14256,5,0.146,14379,5,26.168,10026,4,51.273,1700,1,0.214,9122,3,0.439,1238,1,0.718,6309,2,0.529,1220,1,-0.458,23413,8,3.023,4342,2,1.318,1798,1,0.459,8823,3,2305,695,1397,213,1340
E01011231,Kirklees 034A,E08000034,Kirklees,23.71,11570,4,0.119,13864,5,0.084,15396,5,13.313,18763,6,0.248,12359,4,0.964,3817,2,11.706,26885,9,51.917,1595,1,0.203,9859,4,0.086,22261,7,-0.223,19779,7,0.293,16786,6,-0.913,29084,9,0.421,13126,4,1.45,1269,1,0.068,14202,5,1550,266,935,349,939
E01011232,Kirklees 039A,E08000034,Kirklees,42.493,3596,2,0.25,3991,2,0.217,2415,1,20.04,13741,5,0.686,7014,3,1.294,1781,1,21.793,14563,5,42.23,3603,2,0.279,5385,2,0.261,6353,2,-0.347,21678,7,0.378,8338,3,-0.541,24664,8,2.247,6203,2,0.979,4018,2,0.632,7120,3,1538,257,969,312,1001
E01011233,Kirklees 039B,E08000034,Kirklees,22.127,12680,4,0.096,17014,6,0.076,17338,6,11.614,20311,7,0.027,15600,5,1.399,1362,1,15.222,22725,7,44.067,3136,1,0.105,18876,6,0.148,14329,5,-0.225,19811,7,0.27,19495,6,-0.119,17777,6,-0.108,15757,5,1.23,2268,1,-0.026,15720,5,1685,411,954,320,967
E01011234,Kirklees 038D,E08000034,Kirklees,35.917,5567,2,0.232,4900,2,0.173,4778,2,25.6,10518,4,0.629,7612,3,0.648,7103,3,24.898,11231,4,35.845,5874,2,0.292,4738,2,0.207,9486,3,0.299,11467,4,0.363,9617,3,0.367,9762,3,0.667,12036,4,0.957,4193,2,-0.02,15643,5,1460,313,858,289,860
E01011235,Kirklees 039C,E08000034,Kirklees,44.902,3074,1,0.242,4385,2,0.185,3992,2,27.946,9417,3,1.093,3572,2,1.579,851,1,28.433,8087,3,40.151,4214,2,0.224,8455,3,0.422,1478,1,-0.017,16385,5,0.423,5367,2,-0.268,20367,7,3.146,4063,2,0.807,5616,2,0.888,4929,2,1884,236,1322,326,1322
E01011236,Kirklees 034B,E08000034,Kirklees,40.333,4175,2,0.175,8410,3,0.132,8297,3,23.21,11790,4,1.273,2495,1,1.524,984,1,30.354,6716,3,51.016,1741,1,0.19,10789,4,0.421,1486,1,0.226,12511,4,0.348,10940,4,-0.467,23551,8,3.786,2867,1,1.068,3350,2,1.209,2894,1,1931,191,1582,158,1589
E01011237,Kirklees 039D,E08000034,Kirklees,43.175,3433,2,0.268,3283,1,0.184,4090,2,31.248,8092,3,0.992,4288,2,1.085,2911,1,16.119,21522,7,48.06,2245,1,0.288,4974,2,0.256,6584,3,0.249,12169,4,0.423,5376,2,-1.509,32132,10,1.685,7942,3,1.336,1720,1,0.038,14679,5,1667,454,977,236,978
E01011238,Kirklees 034C,E08000034,Kirklees,26.451,9906,4,0.107,15335,5,0.11,11083,4,6.833,25218,8,0.556,8439,3,1.143,2560,1,19.958,16701,6,49.506,1993,1,0.066,24566,8,0.155,13626,5,-0.646,25868,8,0.24,22812,7,-0.33,21395,7,1.52,8515,3,1.285,1969,1,0.391,9620,3,1728,252,1055,421,1058
E01011239,Kirklees 034D,E08000034,Kirklees,20.354,14042,5,0.11,14971,5,0.102,12145,4,4.348,28102,9,0.248,12366,4,0.488,9234,3,11.05,27584,9,44.65,2980,1,0.107,18559,6,0.105,19342,6,-0.727,26851,9,0.197,27378,9,-0.964,29528,9,0.3,13709,5,1.167,2658,1,0.282,10995,4,1539,279,957,303,957
E01011240,Kirklees 033D,E08000034,Kirklees,29.866,8085,3,0.172,8613,3,0.13,8551,3,16.961,15843,5,0.596,7974,3,0.854,4853,2,15.571,22267,7,46.141,2642,1,0.22,8730,3,0.19,10695,4,-0.278,20639,7,0.341,11595,4,-0.326,21314,7,0.516,12718,4,1.258,2103,1,0.106,13551,5,1722,318,989,415,995
E01011241,Kirklees 004A,E08000034,Kirklees,7.92,27152,9,0.028,31176,10,0.044,26668,9,3.825,28735,9,-0.219,19420,6,-0.352,21765,7,23.507,12661,4,21.093,14487,5,0.022,31688,10,0.05,29100,9,-0.874,28328,9,0.199,27178,9,0.738,5466,2,-1.593,23891,8,0.281,12131,4,0.05,14480,5,1863,360,1029,474,1028
E01011242,Kirklees 004B,E08000034,Kirklees,29.832,8102,3,0.161,9588,3,0.137,7790,3,41.39,5015,2,0.673,7151,3,1,3523,2,13.186,25182,8,14.246,19911,7,0.157,13422,5,0.216,8908,3,0.979,3915,2,0.404,6540,2,-0.435,23046,8,0.124,14555,5,-0.222,19946,7,0.115,13411,5,1533,284,870,379,875
E01011243,Kirklees 004C,E08000034,Kirklees,11.402,22858,7,0.063,23024,8,0.064,20299,7,12.512,19488,6,-0.266,20126,7,0.292,12051,4,8.095,30255,10,21.713,14033,5,0.075,23038,8,0.075,24271,8,-0.128,18230,6,0.269,19561,6,-0.558,24912,8,-1.084,21182,7,0.356,11113,4,-0.034,15855,5,1663,271,881,511,913
E01011244,Kirklees 004D,E08000034,Kirklees,10.132,24339,8,0.067,22140,7,0.056,22663,7,13.812,18319,6,-0.5,23425,8,0.022,16346,5,7.774,30491,10,21.863,13940,5,0.092,20457,7,0.093,21076,7,-0.073,17312,6,0.279,18348,6,-0.512,24249,8,-1.298,22390,7,0.309,11747,4,0.084,13920,5,2081,467,1228,386,1223
E01011245,Kirklees 009A,E08000034,Kirklees,30.205,7932,3,0.198,6771,3,0.134,8061,3,33.27,7352,3,-0.17,18677,6,1.363,1490,1,19.704,16993,6,18.911,16111,5,0.357,2416,1,0.092,21330,7,0.691,6586,3,0.379,8315,3,0.235,11738,4,-0.148,15973,5,-0.067,17525,6,0.419,9270,3,1522,325,837,360,837
E01011246,Kirklees 009B,E08000034,Kirklees,38.808,4634,2,0.24,4513,2,0.193,3489,2,45.324,4095,2,0.722,6658,3,0.917,4244,2,18.447,18554,6,18.684,16282,5,0.287,5008,2,0.275,5710,2,0.68,6698,3,0.485,2588,1,-0.108,17554,6,0.685,11950,4,-0.047,17211,6,0.366,9920,4,1536,368,934,234,935
E01011247,Kirklees 008B,E08000034,Kirklees,13.736,20223,7,0.069,21712,7,0.064,20282,7,15.938,16635,6,-0.314,20877,7,0.058,15762,5,15.483,22380,7,34.521,6461,2,0.068,24208,8,0.112,18317,6,0.047,15286,5,0.289,17190,6,0.244,11599,4,-1.523,23520,8,0.807,5617,2,0.301,10734,4,1573,287,905,381,912
E01011248,Kirklees 009C,E08000034,Kirklees,19.726,14599,5,0.115,14348,5,0.098,12829,4,24.137,11275,4,0.244,12430,4,0.528,8692,3,10.743,27907,9,18.516,16418,5,0.122,16852,6,0.174,11920,4,0.3,11442,4,0.347,11004,4,-0.731,27188,9,-0.023,15323,5,0.02,16135,5,0.24,11569,4,1533,253,815,465,836
E01011249,Kirklees 008C,E08000034,Kirklees,31.99,7089,3,0.181,7972,3,0.138,7652,3,49.66,3308,2,0.336,11133,4,0.842,4984,2,16.78,20707,7,29.038,9357,3,0.211,9326,3,0.174,11930,4,1.216,2280,1,0.43,5015,2,-0.156,18488,6,0.411,13175,5,0.695,6846,3,-0.002,15336,5,1725,393,924,408,924
E01011250,Kirklees 009D,E08000034,Kirklees,40.76,4039,2,0.215,5814,2,0.171,4938,2,39.692,5442,2,1.013,4138,2,1.042,3215,1,13.276,25087,8,50.852,1772,1,0.308,4090,2,0.236,7770,3,0.877,4750,2,0.407,6347,2,-0.546,24727,8,0.351,13445,5,1.256,2112,1,0.636,7079,3,1693,268,1053,372,1060
E01011251,Kirklees 008D,E08000034,Kirklees,42.512,3593,2,0.264,3434,2,0.194,3457,2,59.2,1824,1,0.967,4479,2,0.772,5717,2,16.83,20645,7,17.57,17153,6,0.305,4162,2,0.313,4151,2,1.373,1493,1,0.476,2918,1,-0.376,22141,7,0.905,10923,4,-0.101,18049,6,0.321,10478,4,1749,463,992,294,997
E01011252,Kirklees 028A,E08000034,Kirklees,11.491,22749,7,0.029,30938,10,0.05,24663,8,7.302,24710,8,-0.288,20475,7,0.653,7043,3,27.802,8613,3,18.236,16622,6,0.028,30901,10,0.031,31880,10,-0.553,24636,8,0.239,22980,7,1.127,2805,1,-3.24,30083,10,0.31,11746,4,-0.437,22602,7,1127,138,623,366,635
E01011253,Kirklees 028B,E08000034,Kirklees,41.542,3846,2,0.228,5067,2,0.196,3361,2,65.24,1177,1,0.596,7971,3,0.907,4323,2,14.235,23946,8,27.812,10063,4,0.252,6803,3,0.217,8845,3,1.369,1512,1,0.518,1531,1,-0.751,27433,9,0.864,11095,4,0.728,6490,2,-0.281,20022,7,1298,289,715,294,720
E01011254,Kirklees 028C,E08000034,Kirklees,10.255,24189,8,0.063,22919,7,0.064,20364,7,12.861,19154,6,-0.248,19839,7,0.036,16114,5,8.22,30152,10,15.001,19204,6,0.05,27270,9,0.095,20719,7,-0.376,22092,7,0.303,15637,5,-0.319,21208,7,-1.741,24609,8,0.032,15946,5,-0.22,18988,6,1492,197,751,544,784
E01011255,Kirklees 028D,E08000034,Kirklees,49.12,2303,1,0.269,3252,1,0.229,1912,1,62.811,1415,1,1.12,3387,2,1.281,1837,1,14.648,23474,8,22.235,13697,5,0.361,2315,1,0.216,8884,3,1.336,1666,1,0.508,1814,1,-1.176,30910,10,1.266,9455,3,0.487,9378,3,-0.318,20642,7,1461,338,842,281,827
E01011256,Kirklees 028E,E08000034,Kirklees,33.663,6389,2,0.202,6562,2,0.171,4925,2,50.054,3246,1,0.657,7319,3,0.356,11083,4,17.23,20138,7,18.656,16306,5,0.273,5686,2,0.183,11269,4,0.968,3994,2,0.48,2793,1,-0.501,24092,8,1.213,9663,3,0.327,11516,4,-0.412,22222,7,1377,277,772,328,768
E01011257,Kirklees 024A,E08000034,Kirklees,30.632,7720,3,0.216,5766,2,0.143,7201,3,45.665,4020,2,-0.077,17210,6,0.059,15756,5,14.785,23308,8,37.616,5122,2,0.111,18085,6,0.564,313,1,-0.266,20461,7,0.563,570,1,-1.943,32720,10,1.441,8805,3,0.916,4545,2,0.312,10587,4,2229,567,1308,354,1302
E01011258,Kirklees 024B,E08000034,Kirklees,27.258,9433,3,0.226,5177,2,0.122,9381,3,50.145,3228,1,-0.097,17522,6,-0.571,24734,8,14.449,23715,8,20.575,14841,5,0.149,14142,5,0.588,246,1,-0.191,19255,6,0.59,289,1,-1.457,32013,10,1.307,9286,3,0.28,12140,4,-0.012,15500,5,2039,460,1272,307,1254
E01011259,Kirklees 024C,E08000034,Kirklees,40.152,4220,2,0.246,4210,2,0.172,4858,2,50.111,3234,1,1.293,2385,1,0.135,14573,5,18.248,18799,6,32.22,7605,3,0.226,8358,3,0.391,2053,1,0.029,15572,5,0.571,457,1,-0.773,27684,9,1.775,7628,3,0.769,6006,2,0.149,12875,4,1912,518,1152,242,1144
E01011260,Kirklees 023E,E08000034,Kirklees,31.842,7145,3,0.183,7805,3,0.157,5934,2,39.906,5384,2,0.218,12813,4,0.126,14711,5,28.935,7715,3,32.543,7446,3,0.193,10580,4,0.173,12030,4,0.71,6382,2,0.437,4628,2,0.673,6124,2,0.403,13217,5,0.843,5221,2,-0.05,16117,5,1413,406,781,226,770
E01011261,Kirklees 024D,E08000034,Kirklees,32.546,6863,3,0.209,6134,2,0.158,5888,2,50.468,3168,1,0.432,9925,4,-0.21,19782,7,17.104,20306,7,31.488,7999,3,0.16,13115,4,0.379,2332,1,-0.049,16879,6,0.579,365,1,-1.993,32756,10,1.935,7110,3,0.793,5763,2,-0.005,15380,5,1499,539,847,113,832
E01011262,Kirklees 024E,E08000034,Kirklees,39.697,4354,2,0.228,5084,2,0.183,4095,2,53.421,2659,1,0.746,6405,2,0.881,4584,2,21.916,14420,5,23.689,12643,4,0.18,11513,4,0.356,2883,1,0.616,7453,3,0.543,920,1,-0.679,26566,9,2.445,5670,2,0.441,9981,4,0.015,15041,5,1751,523,1029,199,970
E01011263,Kirklees 024F,E08000034,Kirklees,24.057,11351,4,0.166,9137,3,0.106,11610,4,27.611,9560,3,0.244,12438,4,0.502,9049,3,18.176,18898,6,22.017,13841,5,0.216,9010,3,0.214,9021,3,0.202,12863,4,0.396,7120,3,-0.062,16775,6,0.489,12819,4,0.418,10270,4,-0.147,17784,6,1661,389,965,307,949
E01033542,Kirklees 017E,E08000034,Kirklees,32.423,6907,3,0.167,9002,3,0.13,8535,3,21.876,12619,4,0.166,13538,5,1.395,1371,1,16.802,20689,7,53.858,1322,1,0.144,14553,5,0.248,7043,3,-0.01,16274,5,0.364,9462,3,-0.301,20904,7,0.751,11611,4,1.329,1744,1,0.698,6507,2,3071,676,1896,499,1894
