LSOA code (2011),LSOA name (2011),Local Authority District code (2019),Local Authority District name (2019),Index of Multiple Deprivation (IMD) Score,Index of Multiple Deprivation (IMD) Rank (where 1 is most deprived),Index of Multiple Deprivation (IMD) Decile (where 1 is most deprived 10% of LSOAs),Income Score (rate),Income Rank (where 1 is most deprived),Income Decile (where 1 is most deprived 10% of LSOAs),Employment Score (rate),Employment Rank (where 1 is most deprived),Employment Decile (where 1 is most deprived 10% of LSOAs),"Education, Skills and Training Score","Education, Skills and Training Rank (where 1 is most deprived)","Education, Skills and Training Decile (where 1 is most deprived 10% of LSOAs)",Health Deprivation and Disability Score,Health Deprivation and Disability Rank (where 1 is most deprived),Health Deprivation and Disability Decile (where 1 is most deprived 10% of LSOAs),Crime Score,Crime Rank (where 1 is most deprived),Crime Decile (where 1 is most deprived 10% of LSOAs),Barriers to Housing and Services Score,Barriers to Housing and Services Rank (where 1 is most deprived),Barriers to Housing and Services Decile (where 1 is most deprived 10% of LSOAs),Living Environment Score,Living Environment Rank (where 1 is most deprived),Living Environment Decile (where 1 is most deprived 10% of LSOAs),Income Deprivation Affecting Children Index (IDACI) Score (rate),Income Deprivation Affecting Children Index (IDACI) Rank (where 1 is most deprived),Income Deprivation Affecting Children Index (IDACI) Decile (where 1 is most deprived 10% of LSOAs),Income Deprivation Affecting Older People (IDAOPI) Score (rate),Income Deprivation Affecting Older People (IDAOPI) Rank (where 1 is most deprived),Income Deprivation Affecting Older People (IDAOPI) Decile (where 1 is most deprived 10% of LSOAs),Children and Young People Sub-domain Score,Children and Young People Sub-domain Rank (where 1 is most deprived),Children and Young People Sub-domain Decile (where 1 is most deprived 10% of LSOAs),Adult Skills Sub-domain Score,Adult Skills Sub-domain Rank (where 1 is most deprived),Adult Skills Sub-domain Decile (where 1 is most deprived 10% of LSOAs),Geographical Barriers Sub-domain Score,Geographical Barriers Sub-domain Rank (where 1 is most deprived),Geographical Barriers Sub-domain Decile (where 1 is most deprived 10% of LSOAs),Wider Barriers Sub-domain Score,Wider Barriers Sub-domain Rank (where 1 is most deprived),Wider Barriers Sub-domain Decile (where 1 is most deprived 10% of LSOAs),Indoors Sub-domain Score,Indoors Sub-domain Rank (where 1 is most deprived),Indoors Sub-domain Decile (where 1 is most deprived 10% of LSOAs),Outdoors Sub-domain Score,Outdoors Sub-domain Rank (where 1 is most deprived),Outdoors Sub-domain Decile (where 1 is most deprived 10% of LSOAs),Total population: mid 2015 (excluding prisoners),Dependent Children aged 0-15: mid 2015 (excluding prisoners),Population aged 16-59: mid 2015 (excluding prisoners),Older population aged 60 and over: mid 2015 (excluding prisoners),Working age population 18-59/64: for use with Employment Deprivation Domain (excluding prisoners) 
E01011132,Kirklees 020A,E08000034,Kirklees,3.9,31594,10,0.025,31638,10,0.036,28922,9,2.85,29918,10,-1.024,29013,9,-0.382,22209,7,17.815,19387,6,7.824,26383,9,0.059,25723,8,0.02,32636,10,-1.436,31746,10,0.208,26429,9,0.505,7925,3,-2.469,27723,9,-0.697,26298,9,-0.171,18158,6,1582,281,806,495,817
E01011133,Kirklees 023A,E08000034,Kirklees,44.227,3222,1,0.255,3797,2,0.18,4290,2,65.462,1147,1,0.844,5500,2,0.199,13518,5,23.017,13186,5,44.486,3024,1,0.253,6738,3,0.369,2591,1,0.723,6244,2,0.615,130,1,-0.354,21797,7,2.209,6302,2,1.243,2183,1,-0.035,15872,5,1564,485,895,184,869
E01011134,Kirklees 023B,E08000034,Kirklees,48.794,2358,1,0.286,2686,1,0.205,2899,1,61.813,1540,1,0.886,5175,2,0.889,4493,2,28.176,8278,3,34.464,6490,2,0.285,5092,2,0.465,915,1,0.767,5790,2,0.577,395,1,0.009,15521,5,2.492,5560,2,0.693,6867,3,0.614,7294,3,2046,715,1195,136,1166
E01011136,Kirklees 016C,E08000034,Kirklees,36.809,5262,2,0.205,6375,2,0.177,4517,2,36.781,6249,2,0.476,9393,3,1.71,548,1,15.846,21874,7,19.527,15658,5,0.223,8515,3,0.183,11251,4,0.619,7425,3,0.424,5326,2,-0.805,28032,9,1.285,9378,3,0.012,16262,5,0.365,9927,4,1791,470,977,344,995
E01011137,Kirklees 016D,E08000034,Kirklees,36.14,5477,2,0.214,5895,2,0.162,5595,2,34.432,6969,3,0.977,4390,2,1.524,985,1,13.239,25127,8,10.649,23376,8,0.295,4600,2,0.22,8663,3,0.615,7470,3,0.403,6590,3,-0.191,19098,6,-0.431,17502,6,-0.462,23392,8,-0.029,15758,5,1520,354,953,213,961
E01011138,Kirklees 019A,E08000034,Kirklees,60.097,914,1,0.362,836,1,0.255,1164,1,59.274,1817,1,1.167,3066,1,2.195,86,1,21.728,14631,5,18.706,16263,5,0.392,1620,1,0.492,704,1,0.845,5024,2,0.552,743,1,-0.673,26502,9,2.403,5785,2,-0.127,18458,6,0.484,8573,3,1762,523,1064,175,1040
E01011139,Kirklees 019B,E08000034,Kirklees,34.859,5942,2,0.173,8536,3,0.123,9339,3,57.769,2009,1,0.249,12348,4,1.103,2785,1,21.608,14773,5,38.557,4775,2,0.204,9818,3,0.217,8852,3,0.866,4846,2,0.541,952,1,0.104,13867,5,0.798,11400,4,1.016,3758,2,0.12,13321,5,1568,427,916,225,898
E01011140,Kirklees 019C,E08000034,Kirklees,63.016,661,1,0.396,439,1,0.264,994,1,75.811,469,1,0.976,4402,2,1.1,2799,1,30.48,6626,3,26.62,10795,4,0.401,1441,1,0.529,469,1,1.17,2568,1,0.629,77,1,0.048,14847,5,2.858,4689,2,0.529,8808,3,0.143,12976,4,1768,660,953,155,914
E01011141,Kirklees 019D,E08000034,Kirklees,35.06,5865,2,0.213,5963,2,0.142,7255,3,44.266,4337,2,0.611,7799,3,0.728,6211,2,18.937,17926,6,37.764,5079,2,0.196,10361,4,0.391,2050,1,0.263,11972,4,0.52,1472,1,-0.273,20455,7,1.181,9786,3,0.783,5861,2,0.719,6328,2,1706,507,1049,150,1028
E01011142,Kirklees 020B,E08000034,Kirklees,14.744,19185,6,0.052,25794,8,0.067,19678,6,8.636,23269,8,-0.346,21399,7,0.828,5137,2,12.73,25721,8,40.079,4237,2,0.067,24412,8,0.061,26917,9,-0.707,26596,9,0.274,18905,6,-0.113,17672,6,-0.843,19789,7,1.157,2720,1,-0.252,19500,6,1690,263,962,465,980
E01011143,Kirklees 023C,E08000034,Kirklees,45.515,2962,1,0.258,3661,2,0.192,3568,2,68.568,880,1,0.908,4985,2,0.482,9323,3,22.515,13730,5,35.899,5855,2,0.241,7441,3,0.456,1016,1,0.743,6026,2,0.666,12,1,-0.624,25860,8,2.508,5516,2,0.993,3910,2,-0.141,17679,6,1727,551,1024,152,1012
E01011144,Kirklees 023D,E08000034,Kirklees,50.155,2154,1,0.279,2890,1,0.196,3347,2,69.147,839,1,1.202,2849,1,0.96,3845,2,23.358,12807,4,33.789,6803,3,0.226,8335,3,0.505,605,1,0.808,5405,2,0.644,35,1,-0.538,24630,8,2.575,5367,2,0.715,6620,3,0.481,8607,3,1653,504,947,202,955
E01011145,Kirklees 041A,E08000034,Kirklees,12.972,21077,7,0.075,20427,7,0.062,20915,7,17.538,15434,5,-0.027,16415,5,-0.031,17156,6,8.693,29779,10,26.156,11072,4,0.09,20744,7,0.079,23523,8,0.126,14048,5,0.298,16213,5,-0.522,24402,8,-0.965,20509,7,0.644,7411,3,-0.241,19340,6,1534,290,849,395,848
E01011146,Kirklees 036A,E08000034,Kirklees,8.504,26412,9,0.056,24787,8,0.046,25845,8,6.354,25774,8,-0.326,21051,7,-0.299,21035,7,3.749,32441,10,30.294,8631,3,0.095,20111,7,0.068,25586,8,-0.584,25017,8,0.225,24610,8,-1.297,31470,10,-1.744,24624,8,0.86,5082,2,-0.458,22890,7,1563,244,946,373,940
E01011147,Kirklees 041B,E08000034,Kirklees,20.187,14180,5,0.112,14653,5,0.088,14624,5,23.971,11369,4,0.312,11460,4,0.136,14553,5,13.171,25202,8,34.057,6658,3,0.159,13249,5,0.16,13153,5,0.597,7647,3,0.294,16621,6,-0.067,16851,6,-0.869,19954,7,0.927,4441,2,-0.152,17851,6,1718,337,1042,339,1048
E01011148,Kirklees 041C,E08000034,Kirklees,55.858,1366,1,0.323,1580,1,0.27,868,1,55.003,2401,1,1.409,1835,1,1.001,3517,2,24.94,11178,4,21.244,14370,5,0.368,2120,1,0.309,4348,2,1.3,1830,1,0.458,3673,2,0.116,13668,5,1.508,8550,3,0.23,12876,4,0.168,12599,4,1671,383,892,396,903
E01011149,Kirklees 045B,E08000034,Kirklees,40.067,4243,2,0.188,7490,3,0.166,5233,2,35.76,6526,2,0.791,5988,2,0.866,4737,2,14.448,23716,8,70.028,106,1,0.23,8082,3,0.269,5997,2,0.89,4639,2,0.367,9318,3,-0.937,29296,9,1.08,10175,4,1.885,338,1,0.72,6322,2,1871,369,1277,225,1283
E01011150,Kirklees 038A,E08000034,Kirklees,22.476,12403,4,0.11,14963,5,0.071,18598,6,16.625,16098,5,0.362,10833,4,0.791,5519,2,13.524,24786,8,50.692,1800,1,0.166,12647,4,0.17,12279,4,0.21,12735,4,0.27,19385,6,-0.16,18541,6,-0.445,17576,6,1.421,1387,1,0.044,14580,5,1547,286,943,318,951
E01011151,Kirklees 036B,E08000034,Kirklees,8.914,25902,8,0.031,30552,10,0.032,30024,10,4.144,28349,9,-0.816,27168,9,-0.406,22509,7,17.413,19896,7,46.816,2491,1,0.041,28842,9,0.047,29616,10,-0.636,25734,8,0.176,29085,9,0.385,9504,3,-1.635,24090,8,1.388,1506,1,-0.367,21488,7,1622,294,950,378,967
E01011152,Kirklees 041D,E08000034,Kirklees,14.092,19864,7,0.066,22474,7,0.057,22378,7,5.04,27248,9,-0.284,20398,7,0.106,15038,5,15.286,22645,7,50.506,1827,1,0.064,24910,8,0.123,16943,6,-0.73,26869,9,0.214,25737,8,-0.156,18474,6,0.025,15074,5,1.462,1212,1,-0.185,18402,6,1765,291,1153,321,1170
E01011153,Kirklees 045C,E08000034,Kirklees,26.699,9762,3,0.129,12605,4,0.114,10422,4,27.139,9754,3,0.35,10971,4,0.599,7763,3,12.314,26214,8,49.265,2027,1,0.128,16196,5,0.14,15067,5,0.744,6010,2,0.301,15807,5,-0.496,24009,8,0.018,15099,5,1.367,1603,1,0.079,14012,5,1699,302,1016,381,1025
E01011154,Kirklees 045D,E08000034,Kirklees,26.678,9774,3,0.192,7205,3,0.103,12093,4,38.327,5816,2,0.291,11745,4,0.565,8190,3,14.313,23863,8,24.803,11902,4,0.324,3462,2,0.164,12765,4,1.097,3053,1,0.348,10919,4,-0.23,19765,7,-0.032,15363,5,0.562,8407,3,-0.17,18139,6,1596,390,925,281,934
E01011155,Kirklees 038B,E08000034,Kirklees,14.465,19476,6,0.071,21269,7,0.059,21791,7,7.402,24590,8,-0.542,23962,8,0.242,12834,4,24.349,11775,4,40.068,4241,2,0.098,19662,6,0.065,26110,8,-0.279,20656,7,0.2,27158,9,0.529,7653,3,-0.165,16058,5,1.146,2793,1,-0.199,18636,6,2032,398,1184,450,1208
