id,title,employer,location,distance,wage,trainingCourse,level,duration,startDate,closingDate,positions,trainingProvider,url
"VAC2000017812","(App824) Business Administration Apprentice L3","IFT WEALTH MANAGEMENT LTD","Halifax (HX3 5AX)","6.5 miles","£16,640 for your first year, then could increase depending on your age","Business administrator (level 3)","3","1 year 9 months","Friday 1 May 2026","Closes in 15 days (Thursday 30 April 2026)","1","CALDERDALE COLLEGE","https://www.findapprenticeship.service.gov.uk/apprenticeship/VAC2000017812"
"VAC2000025504","Customer Service Recoveries Apprentice","CREDIT RESOURCE SOLUTIONS LTD","HALIFAX (HX3 5AX)","6.5 miles","£20,319 a year","Customer service practitioner (level 2)","2","1 year 5 months","Monday 11 May 2026","Closes in 22 days (Thursday 7 May 2026 at 11:59pm)","2","INTEC BUSINESS COLLEGES LIMITED","https://www.findapprenticeship.service.gov.uk/apprenticeship/VAC2000025504"
"VAC2000023288","(App831) Apprentice Teaching Assistant Level 3","TRINITY MULTI ACADEMY TRUST","Sowerby Bridge (HX6 2AS)","6.6 miles","£13,312 for your first year, then could increase depending on your age","Teaching assistant (level 3)","3","1 year 6 months","Friday 1 May 2026","Closes in 15 days (Thursday 30 April 2026)","1","CALDERDALE COLLEGE","https://www.findapprenticeship.service.gov.uk/apprenticeship/VAC2000023288"
"VAC2000012077","(App810) Early Years Educator Apprenticeship Level 3","SHELF OUT OF SCHOOL CLUB LTD","HALIFAX (HX3 7PB)","7.4 miles","£12,480 for your first year, then could increase depending on your age","Early years educator (level 3)","3","1 year 6 months","Friday 1 May 2026","Closes in 15 days (Thursday 30 April 2026)","1","CALDERDALE COLLEGE","https://www.findapprenticeship.service.gov.uk/apprenticeship/VAC2000012077"
"VAC2000026329","Apprentice Flight Simulator Engineer","Jet2.com","Bradford (BD4 6SE)","7.6 miles","Competitive Competitive wage offered","Mechatronics maintenance technician (level 3)","3","3 years 10 months","Tuesday 1 September 2026","Closes in 16 days (Friday 1 May 2026)","2","APPRIS CHARITY LIMITED","https://www.findapprenticeship.service.gov.uk/apprenticeship/VAC2000026329"
"VAC2000022007","Apprenticeship Early Years Educator Level 3","RACHEL STRONG &amp; PAUL TAYLOR","Bradford (BD6 1QL)","8.1 miles","£16,640 for your first year, then could increase depending on your age","Early years educator (level 3)","3","1 year 6 months","Saturday 30 May 2026","Sunday 24 May 2026","1","JUNIPER TRAINING LIMITED","https://www.findapprenticeship.service.gov.uk/apprenticeship/VAC2000022007"
"VAC2000024561","Chef Apprenticeship","Bradford - Toby Carvery - Bradford","244-246 Rooley Lane (BD5 8LB)","8.4 miles","£16,926 a year","Production chef (level 2)","2","1 year 3 months","Monday 18 May 2026","Closes in 26 days (Monday 11 May 2026)","1","LIFETIME TRAINING GROUP LIMITED","https://www.findapprenticeship.service.gov.uk/apprenticeship/VAC2000024561"
"VAC2000013399","(App819) Apprentice Nursery Practitioner Level 3","QUEENSBURY PRIVATE DAY NURSERY LIMITED","Bradford (BD13 2PD)","8.6 miles","£16,640 a year","Early years educator (level 3)","3","1 year 6 months","Friday 1 May 2026","Closes in 15 days (Thursday 30 April 2026)","1","CALDERDALE COLLEGE","https://www.findapprenticeship.service.gov.uk/apprenticeship/VAC2000013399"
"VAC2000026172","Apprentice Dental Nurse - Bradford","DENTISTRYATLTD","BRADFORD (BD4 0PU)","8.8 miles","£12,480 for your first year, then could increase depending on your age","Dental nurse (level 3)","3","1 year","Monday 8 June 2026","Thursday 21 May 2026","1","HARRIET ELLIS TRAINING SOLUTIONS LIMITED","https://www.findapprenticeship.service.gov.uk/apprenticeship/VAC2000026172"
"VAC2000022214","Apprentice Dental Nurse - Bradford","GREAT HORTON DENTCARE LTD","Bradford (BD7 4PY)","8.9 miles","£12,480 for your first year, then could increase depending on your age","Dental nurse (level 3)","3","1 year","Monday 25 May 2026","Thursday 21 May 2026","1","HARRIET ELLIS TRAINING SOLUTIONS LIMITED","https://www.findapprenticeship.service.gov.uk/apprenticeship/VAC2000022214"
