referenceNumber,larsCode,title,level,route,typicalDuration,maxFunding,status
"ST0411","291","Project manager (integrated degree)","6","Business and administration","48","22000","Approved for delivery"
"ST0627","298","Ambulance support worker (emergency, urgent and non-urgent)","3","Health and science","13","7000","Approved for delivery"
"ST1291","685","Water industry treatment process technician","3","Engineering and manufacturing","36","16000","Approved for delivery"
"ST0194","172","Fishmonger","2","Sales, marketing and procurement","18","13000","Approved for delivery"
"ST0662","474","Automation and controls engineering technician","4","Engineering and manufacturing","48","14000","Approved for delivery"
"ST0649","406","Bioinformatics scientist (degree)","7","Health and science","30","18000","Approved for delivery"
"ST0652","447","Building control surveyor (integrated degree)","6","Construction and the built environment","48","24000","Approved for delivery"
"ST0479","351","Outdoor activity instructor","3","Health and science","12","6000","Approved for delivery"
"ST0982","777","Furniture making operative","2","Engineering and manufacturing","18","11000","Approved for delivery"
"ST0608","488","Accounts or finance assistant","2","Legal, finance and accounting","12","7000","Approved for delivery"
"ST1343","702","Digital forensic technician","4","Digital","24","18000","Approved for delivery"
"ST0388","470","Interior systems installer","2","Construction and the built environment","24","14000","Approved for delivery"
"ST0426","354","Broadcast and media systems engineer (integrated degree)","6","Creative and design","36","24000","Approved for delivery"
"ST0015","116","Survival equipment fitter","3","Engineering and manufacturing","36","27000","Approved for delivery"
"ST0073","286","Payroll administrator","3","Legal, finance and accounting","18","10000","Approved for delivery"
"ST0333","234","Commercial thermal insulation operative","2","Construction and the built environment","18","16000","Approved for delivery"
"ST0043","500","Construction design and build technician","4","Construction and the built environment","36","14000","Approved for delivery"
"ST0645","285","Train driver","3","Transport and logistics","12","21000","Approved for delivery"
"ST0094","160","Composites technician","3","Engineering and manufacturing","36","20000","Approved for delivery"
"ST1385","766","Craft plasterer","3","Construction and the built environment","18","13000","Approved for delivery"
"ST0008","537","Leader in adult care","5","Care services","18","7000","Approved for delivery"
"ST0027","12","Product design and development engineer (degree)","6","Engineering and manufacturing","42","27000","Approved for delivery"
"ST1402","781","Maritime mechanical fitter","3","Engineering and manufacturing","42","27000","Approved for delivery"
"ST1403","782","Maritime electrical fitter","3","Engineering and manufacturing","42","26000","Approved for delivery"
"ST1355","813","Cold forming setter technician","3","Engineering and manufacturing","36","24000","Approved for delivery"
"ST0513","388","Groundworker","2","Construction and the built environment","18","9000","Approved for delivery"
"ST1017","678","Domestic electrician","3","Construction and the built environment","36","19000","Approved for delivery"
"ST1458","812","Professional taxation technician","4","Legal, finance and accounting","24","15000","Approved for delivery"
"ST0647","654","Transport and warehouse operations supervisor","3","Transport and logistics","12","5000","Approved for delivery"
"ST1333","797","Ship’s master – less than 500 gross tonnage near coastal","4","Transport and logistics","48","27000","Approved for delivery"
"ST0107","433","Systems engineer (degree)","7","Engineering and manufacturing","48","21000","Approved for delivery"
"ST1469","817","Collections technician","3","Creative and design","18","13000","Approved for delivery"
"ST0295","290","Painter and decorator","2","Construction and the built environment","24","10000","Approved for delivery"
"ST0912","661","Stained glass craftsperson","4","Creative and design","36","27000","Approved for delivery"
"ST0002","133","Assistant accountant","3","Legal, finance and accounting","15","12000","Approved for delivery"
"ST0504","372","Floorlayer - textile and resilient","2","Construction and the built environment","30","17000","Approved for delivery"
"ST0041","275","Building services engineering senior technician","4","Construction and the built environment","36","13000","Approved for delivery"
"ST0881","652","Geotechnical engineer (integrated degree)","7","Engineering and manufacturing","30","21000","Approved for delivery"
"ST1498","824","Floorlayer wood based","2","Construction and the built environment","30","20000","Approved for delivery"
"ST0265","467","Construction assembly and installation operative","2","Construction and the built environment","18","13000","Approved for delivery"
"ST0783","606","Costume technician - stage and screen","3","Creative and design","15","9000","Approved for delivery"
"ST1328","718","Polymer processing technician","3","Engineering and manufacturing","36","25000","Approved for delivery"
"ST0164","92","Engineering design technician","3","Engineering and manufacturing","42","24000","Approved for delivery"
"ST0502","255","Actuary","7","Legal, finance and accounting","39","18000","Approved for delivery"
"ST0893","609","Clinical scientist","7","Health and science","36","20000","Approved for delivery"
"ST0744","512","Fenestration fabricator","2","Engineering and manufacturing","18","9000","Approved for delivery"
"ST0950","630","Healthcare engineering specialist technician","3","Engineering and manufacturing","48","24000","Approved for delivery"
"ST0820","591","Clinical associate in psychology (CAP) (integrated degree)","7","Health and science","18","16000","Approved for delivery"
"ST1400","783","Costs lawyer","6","Legal, finance and accounting","48","21000","Approved for delivery"
"ST1380","695","Learning and skills assessor","3","Education and early years","12","5000","Approved for delivery"
"ST0695","419","Process leader","4","Engineering and manufacturing","24","11000","Approved for delivery"
"ST1341","720","Social researcher","6","Business and administration","42","24000","Approved for delivery"
"ST0977","776","Furniture finisher","2","Engineering and manufacturing","15","9000","Approved for delivery"
"ST0325","147","Retail manager","4","Sales, marketing and procurement","12","5000","Approved for delivery"
"ST0245","42","Paralegal","3","Legal, finance and accounting","24","11000","Approved for delivery"
"ST1389","791","Barrister","7","Legal, finance and accounting","72","27000","Approved for delivery"
"ST0980","733","Fitted interiors installer","2","Construction and the built environment","18","11000","Approved for delivery"
"ST0811","732","Senior procurement and supply chain professional","6","Sales, marketing and procurement","30","18000","Approved for delivery"
"ST0014","141","Aviation maintenance mechanic","2","Engineering and manufacturing","18","19000","Approved for delivery"
"ST0792","598","Junior production coordinator","4","Creative and design","18","11000","Approved for delivery"
"ST1393","769","Removals operative","2","Transport and logistics","12","5000","Approved for delivery"
"ST0915","761","Scenic automation technician","3","Creative and design","24","17000","Approved for delivery"
"ST1394","768","Traffic operator","2","Transport and logistics","12","6000","Approved for delivery"
"ST0175","148","Senior credit controller and debt collection specialist","3","Legal, finance and accounting","18","13000","Approved for delivery"
"ST0936","633","Town planning assistant","4","Construction and the built environment","24","12000","Approved for delivery"
"ST0307","350","Port operative","2","Transport and logistics","12","8000","Approved for delivery"
"ST0152","5","Installation and maintenance electrician","3","Construction and the built environment","54","23000","Approved for delivery"
"ST0894","704","Service designer","6","Business and administration","24","15000","Approved for delivery"
"ST0303","225","Plumbing and domestic heating technician","3","Construction and the built environment","48","22000","Approved for delivery"
"ST0522","675","Youth worker","6","Care services","36","20000","Approved for delivery"
"ST0821","753","Thatcher","2","Construction and the built environment","24","21000","Approved for delivery"
"ST0829","505","Health play specialist","5","Health and science","24","15000","Approved for delivery"
"ST0892","669","Medical statistician","7","Health and science","30","17000","Approved for delivery"
"ST0537","352","Engineering operative","2","Engineering and manufacturing","12","10000","Approved for delivery"
"ST0631","507","Public health practitioner - integrated degree","6","Health and science","36","20000","Approved for delivery"
"ST0868","634","Early intervention practitioner","4","Care services","18","5000","Approved for delivery"
