time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,lad_code,lad_name,pcon_code,pcon_name,age_summary,apps_level,sex,starts,achievements,participation
202425,Academic year,Local authority district,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,"","",25+,Advanced Apprenticeship,Male,180,110,400
202425,Academic year,Local authority district,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,"","",25+,Higher Apprenticeship,Male,310,140,660
202324,Academic year,Local authority district,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,"","",Total,Total,Total,3030,1630,6670
202324,Academic year,Local authority district,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,"","",Total,Intermediate Apprenticeship,Total,650,420,1340
202324,Academic year,Local authority district,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,"","",Total,Advanced Apprenticeship,Total,1330,780,3100
202324,Academic year,Local authority district,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,"","",Total,Higher Apprenticeship,Total,1050,430,2280
202324,Academic year,Local authority district,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,"","",Total,Total,Female,1540,820,3260
202324,Academic year,Local authority district,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,"","",Total,Intermediate Apprenticeship,Female,310,180,630
202324,Academic year,Local authority district,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,"","",Total,Advanced Apprenticeship,Female,630,390,1380
202324,Academic year,Local authority district,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,"","",Total,Higher Apprenticeship,Female,600,260,1280
202324,Academic year,Local authority district,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,"","",Total,Total,Male,1490,800,3410
202324,Academic year,Local authority district,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,"","",Total,Intermediate Apprenticeship,Male,340,240,710
202324,Academic year,Local authority district,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,"","",Total,Advanced Apprenticeship,Male,700,390,1730
202324,Academic year,Local authority district,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,"","",Total,Higher Apprenticeship,Male,450,170,1000
202324,Academic year,Local authority district,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,"","",Under 19,Total,Total,840,430,1410
202324,Academic year,Local authority district,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,"","",Under 19,Intermediate Apprenticeship,Total,330,200,570
202324,Academic year,Local authority district,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,"","",Under 19,Advanced Apprenticeship,Total,450,210,790
202324,Academic year,Local authority district,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,"","",Under 19,Higher Apprenticeship,Total,60,10,70
202324,Academic year,Local authority district,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,"","",Under 19,Total,Female,320,160,520
202324,Academic year,Local authority district,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,"","",Under 19,Intermediate Apprenticeship,Female,150,70,250
202324,Academic year,Local authority district,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,"","",Under 19,Advanced Apprenticeship,Female,150,80,260
202324,Academic year,Local authority district,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,"","",Under 19,Higher Apprenticeship,Female,20,10,20
